Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
9/23/1993,26.18670587559149,26.276080298375078,26.150956106478052,26.25820541381836,88500,23,3,38,9,1993
9/24/1993,26.222450583135718,26.240325464242147,26.15095105870999,26.18670082092285,53500,24,4,38,9,1993
9/27/1993,26.383321907615276,26.47269630432129,26.383321907615276,26.47269630432129,274600,27,0,39,9,1993
9/28/1993,26.49057645113768,26.49057645113768,26.40120203666016,26.419076919555664,158300,28,1,39,9,1993
9/29/1993,26.41906530842519,26.490564808583308,26.29394118314848,26.32969093322754,221000,29,2,39,9,1993
9/30/1993,26.329694273033923,26.38331890495456,26.222445009192644,26.27606964111328,99300,30,3,39,9,1993
10/1/1993,26.24031593255603,26.436939553304065,26.204566183329113,26.40118980407715,22700,1,4,39,10,1993
10/4/1993,26.436946868896484,26.436946868896484,26.365447350657412,26.436946868896484,1038500,4,0,40,10,1993
10/5/1993,26.49056417714444,26.49056417714444,26.311815431009858,26.40118980407715,436500,5,1,40,10,1993
10/6/1993,26.41907343050329,26.526322713712368,26.383323669433594,26.383323669433594,209200,6,2,40,10,1993
10/7/1993,26.419077914694082,26.419077914694082,26.293953729712445,26.31182861328125,59400,7,3,40,10,1993
10/8/1993,26.38330871602735,26.401183586431166,26.15093540077779,26.347558975219727,54400,8,4,40,10,1993
10/11/1993,26.40118980407715,26.454814427917523,26.40118980407715,26.40118980407715,467100,11,0,41,10,1993
10/12/1993,26.436946868896484,26.45482174845625,26.419071989336715,26.436946868896484,26200,12,1,41,10,1993
10/13/1993,26.45482174845625,26.45482174845625,26.40119710977695,26.436946868896484,139100,13,2,41,10,1993
10/14/1993,26.54418269846245,26.77655601501465,26.47268321644639,26.77655601501465,108100,14,3,41,10,1993
10/15/1993,26.901680793103626,26.973180276939118,26.830181309268134,26.91955566,1502500,15,4,41,10,1993
10/18/1993,26.90168140731385,26.90168140731385,26.81230705047892,26.84805679321289,722400,18,0,42,10,1993
10/19/1993,26.812313548036265,26.865938175132335,26.651439666748047,26.651439666748047,880100,19,1,42,10,1993
10/20/1993,26.74081182,26.74081182,26.633562572195636,26.68718719482422,230400,20,2,42,10,1993
10/21/1993,26.705064293844117,26.705064293844117,26.615689915350664,26.651439666748047,56200,21,3,42,10,1993
10/22/1993,26.687183814550025,26.794433046222697,26.526309967041016,26.526309967041016,390700,22,4,42,10,1993
10/25/1993,26.544188030304447,26.633562400776853,26.472688533926522,26.59781265258789,114500,25,0,43,10,1993
10/26/1993,26.579944610595703,26.59781948928474,26.490570217150527,26.579944610595703,186200,26,1,43,10,1993
10/27/1993,26.544188030304447,26.615687526682372,26.544188030304447,26.59781265258789,118400,27,2,43,10,1993
10/28/1993,26.633571118335077,26.865944557622562,26.633571118335077,26.794445037841797,129600,28,3,43,10,1993
10/29/1993,26.776570157896607,26.81231991778699,26.758695277951414,26.794445037841797,80700,29,4,43,10,1993
11/1/1993,26.758675634266137,26.883799702028234,26.758675634266137,26.865924835205078,36400,1,0,44,11,1993
11/2/1993,26.830181921845906,26.883806535946864,26.687182950910017,26.84805679321289,262100,2,1,44,11,1993
11/3/1993,26.830187772466616,26.830187772466616,26.383315890846585,26.508440017700195,479100,3,2,44,11,1993
11/4/1993,26.508430997124318,26.508430997124318,26.204558221027813,26.22243309020996,130400,4,3,44,11,1993
11/5/1993,26.15093540077779,26.347558975219727,26.043686178354914,26.347558975219727,363200,5,4,44,11,1993
11/8/1993,26.36544878889875,26.45482319157298,26.293949266759363,26.383323669433594,367600,8,0,45,11,1993
11/9/1993,26.562063675598267,26.579938550211725,26.38331492946369,26.40118980407715,246900,9,1,45,11,1993
11/10/1993,26.40118904,26.59781265258789,26.329689541170676,26.59781265258789,46500,10,2,45,11,1993
11/11/1993,26.597809454822798,26.669308942604577,26.50843509509557,26.526309967041016,88900,11,3,45,11,1993
11/12/1993,26.57994016395328,26.74081405,26.56206528825459,26.651439666748047,108200,12,4,45,11,1993
11/15/1993,26.705078795772273,26.705078795772273,26.56207971252851,26.63357925415039,243300,15,0,46,11,1993
11/16/1993,26.687190375012722,26.776564756710687,26.579941116975164,26.758689880371094,492600,16,1,46,11,1993
11/17/1993,26.77655643901223,26.77655643901223,26.544183118780477,26.61568260192871,39600,17,2,46,11,1993
11/18/1993,26.579944932982574,26.633569569700093,26.47269565954754,26.54419518,240800,18,3,46,11,1993
11/19/1993,26.45481269208365,26.526312185846038,26.436937818643052,26.490562438964844,106000,19,4,46,11,1993
11/22/1993,26.41906530842519,26.436940183464717,26.24031655802989,26.32969093322754,165300,22,0,47,11,1993
11/23/1993,26.47269630432129,26.490571183662492,26.32969726959167,26.47269630432129,89700,23,1,47,11,1993
11/24/1993,26.544194853217633,26.59781948928474,26.508445095839562,26.579944610595703,77200,24,2,47,11,1993
11/26/1993,26.651437274871334,26.651437274871334,26.57993777849341,26.59781265258789,1019800,26,4,47,11,1993
11/29/1993,26.669311173370815,26.722935793692606,26.490562438964844,26.490562438964844,517500,29,0,48,11,1993
11/30/1993,26.47269026717059,26.63356414,26.45481539190579,26.508440017700195,230000,30,1,48,11,1993
12/1/1993,26.651444448605933,26.66931932751177,26.54419518,26.54419518,379200,1,2,48,12,1993
12/2/1993,26.597807731141653,26.63355747271577,26.544183118780477,26.61568260192871,352000,2,3,48,12,1993
12/3/1993,26.597831496426892,26.72295570373535,26.597831496426892,26.72295570373535,306000,3,4,48,12,1993
12/6/1993,26.758697971343995,26.84807238006592,26.758697971343995,26.81232261657715,99500,6,0,49,12,1993
12/7/1993,26.81231991778699,26.83019479773218,26.758695277951414,26.794445037841797,88800,7,1,49,12,1993
12/8/1993,26.794445037841797,26.794445037841797,26.758695277951414,26.794445037841797,146700,8,2,49,12,1993
12/9/1993,26.794435326194506,26.83018507312739,26.669311211929422,26.705060958862305,416500,9,3,49,12,1993
12/10/1993,26.72293916954281,26.72293916954281,26.597815039651973,26.651439666748047,412900,10,4,49,12,1993
12/13/1993,26.65144868087769,26.81232261657715,26.61569891738892,26.81232261657715,273200,13,0,50,12,1993
12/14/1993,26.83018105,26.83018105,26.61568260192871,26.61568260192871,41900,14,1,50,12,1993
12/15/1993,26.651444125351844,26.66931900404088,26.579944610595703,26.579944610595703,82600,15,2,50,12,1993
12/16/1993,26.687190214366762,26.687190214366762,26.63356558567078,26.669315338134766,78200,16,3,50,12,1993
12/17/1993,26.725914558308236,26.83389805147312,26.707917309447424,26.815900802612305,104700,17,4,50,12,1993
12/20/1993,26.797883598798084,26.869872540635015,26.77988636333885,26.85187530517578,68800,20,0,51,12,1993
12/21/1993,26.81588785393413,26.81588785393413,26.72590165,26.76189613342285,205700,21,1,51,12,1993
12/22/1993,26.833882490475336,26.959863159444705,26.779890775202748,26.941865921020508,410300,22,2,51,12,1993
12/23/1993,26.92385482788086,26.977846515369926,26.887860369554815,26.92385482788086,533800,23,3,51,12,1993
12/27/1993,26.923860803563546,27.067838668823242,26.923860803563546,27.067838668823242,447100,27,0,52,12,1993
12/28/1993,27.049850566385594,27.139836762547887,27.031853327153136,27.12183952331543,880600,28,1,52,12,1993
12/29/1993,27.139814732953955,27.15781195757793,27.067825834458056,27.08582305908203,266700,29,2,52,12,1993
12/30/1993,27.067851427318733,27.067851427318733,26.923873494194698,26.97786521911621,219900,30,3,52,12,1993
12/31/1993,27.03185291405415,27.06784739,26.815886046565033,26.83388328552246,312900,31,4,52,12,1993
1/3/1994,26.833885094104556,26.869879574445406,26.72590165,26.76189613342285,960900,3,0,1,1,1994
1/4/1994,26.79788220144324,26.869871139526367,26.76188773240168,26.869871139526367,164300,4,1,1,1,1994
1/5/1994,26.905857598717837,26.94185205704388,26.797874223739704,26.92385482788086,710900,5,2,1,1,1994
1/6/1994,26.959849286206904,26.977846515369926,26.887860369554815,26.92385482788086,201000,6,3,1,1,1994
1/7/1994,26.977839711338184,27.103820283706007,26.905850812842285,27.08582305908203,775500,7,4,1,1,1994
1/10/1994,27.121832379837684,27.409788131713867,27.049843441868642,27.409788131713867,593700,10,0,2,1,1994
1/11/1994,27.391802742606714,27.391802742606714,27.265822046681453,27.35580825805664,295200,11,1,2,1,1994
1/12/1994,27.373802993321185,27.373802993321185,27.175833346426685,27.265819549560547,158400,12,2,2,1,1994
1/13/1994,27.19382095336914,27.247812656122356,27.157826484866998,27.19382095336914,244300,13,3,2,1,1994
1/14/1994,27.28380826121502,27.355797201218227,27.28380826121502,27.30180549621582,137200,14,4,2,1,1994
1/17/1994,27.30180549621582,27.337799966217425,27.247813791213417,27.30180549621582,17700,17,0,3,1,1994
1/18/1994,27.337814331054688,27.373808819969835,27.283822597681965,27.337814331054688,166400,18,1,3,1,1994
